Pokemon,Color
abomasnow,brown
abomasnow-mega,red
abra,gray
absol,purple
absol-mega,gray
accelgor,gray
aegislash-blade,gray
aegislash-shield,pink
aerodactyl,gray
aerodactyl-mega,green
aggron,gray
aggron-mega,brown
aipom,red
alakazam,red
alakazam-mega,brown
alcremie,gray
alcremie-gmax,white
alomomola,brown
altaria,gray
altaria-mega,yellow
amaura,purple
ambipom,pink
amoonguss,pink
ampharos,gray
ampharos-mega,purple
annihilape,purple
anorith,gray
appletun,gray
appletun-gmax,gray
applin,brown
araquanid,gray
araquanid-totem,green
arbok,yellow
arboliva,gray
arcanine,white
arcanine-hisui,brown
arceus,blue
archen,gray
archeops,gray
arctibax,gray
arctovish,gray
arctozolt,gray
ariados,purple
armaldo,gray
armarouge,green
aromatisse,brown
aron,green
arrokuda,gray
articuno,yellow
articuno-galar,gray
audino,white
audino-mega,gray
aurorus,brown
avalugg,blue
avalugg-hisui,gray
axew,gray
azelf,gray
azumarill,yellow
azurill,brown
bagon,blue
baltoy,purple
banette,gray
banette-mega,brown
barbaracle,purple
barboach,brown
barraskewda,brown
basculegion-female,gray
basculegion-male,green
basculin-blue-striped,gray
basculin-red-striped,brown
basculin-white-striped,brown
bastiodon,gray
baxcalibur,gray
bayleef,gray
beartic,gray
beautifly,brown
beedrill,red
beedrill-mega,gray
beheeyem,gray
beldum,green
bellibolt,gray
bellossom,gray
bellsprout,gray
bergmite,gray
bewear,gray
bibarel,gray
bidoof,gray
binacle,gray
bisharp,purple
blacephalon,gray
blastoise,brown
blastoise-gmax,red
blastoise-mega,green
blaziken,brown
blaziken-mega,blue
blipbug,gray
blissey,gray
blitzle,gray
boldore,brown
boltund,brown
bombirdier,white
bonsly,blue
bouffalant,white
bounsweet,blue
braixen,gray
brambleghast,blue
bramblin,gray
braviary,gray
braviary-hisui,gray
breloom,purple
brionne,gray
bronzong,blue
bronzor,gray
brute-bonnet,purple
bruxish,gray
budew,white
buizel,gray
bulbasaur,green
buneary,white
bunnelby,white
burmy,brown
butterfree,white
butterfree-gmax,yellow
buzzwole,gray
cacnea,gray
cacturne,blue
calyrex,gray
calyrex-ice,green
calyrex-shadow,green
camerupt,gray
camerupt-mega,gray
capsakid,gray
carbink,gray
carkol,gray
carnivine,gray
carracosta,gray
carvanha,pink
cascoon,white
castform,gray
castform-rainy,white
castform-snowy,gray
castform-sunny,white
caterpie,gray
celebi,brown
celesteela,brown
centiskorch,white
centiskorch-gmax,white
ceruledge,gray
cetitan,gray
cetoddle,red
chandelure,gray
chansey,gray
charcadet,red
charizard,blue
charizard-gmax,gray
charizard-mega-x,gray
charizard-mega-y,brown
charjabug,gray
charmander,brown
charmeleon,white
chatot,gray
cherrim,brown
cherubi,green
chesnaught,green
chespin,gray
chewtle,gray
chi-yu,gray
chien-pao,green
chikorita,gray
chimchar,gray
chimecho,gray
chinchou,gray
chingling,red
cinccino,green
cinderace,gray
cinderace-gmax,brown
clamperl,gray
clauncher,gray
clawitzer,gray
claydol,gray
clefable,yellow
clefairy,gray
cleffa,blue
clobbopus,green
clodsire,gray
cloyster,gray
coalossal,green
coalossal-gmax,brown
cobalion,gray
cofagrigus,yellow
combee,green
combusken,gray
comfey,white
conkeldurr,red
copperajah,green
copperajah-gmax,gray
corphish,brown
corsola,gray
corsola-galar,gray
corviknight,blue
corviknight-gmax,green
corvisquire,blue
cosmoem,brown
cosmog,brown
cottonee,blue
crabominable,gray
crabrawler,purple
cradily,gray
cramorant,blue
cramorant-gorging,brown
cramorant-gulping,brown
cranidos,gray
crawdaunt,gray
cresselia,purple
croagunk,blue
crobat,purple
crocalor,gray
croconaw,brown
crustle,gray
cryogonal,gray
cubchoo,gray
cubone,yellow
cufant,gray
cursola,gray
cutiefly,green
cyclizar,brown
cyndaquil,brown
dachsbun,blue
darkrai,brown
darmanitan-galar-standard,brown
darmanitan-galar-zen,pink
darmanitan-standard,gray
darmanitan-zen,gray
dartrix,white
darumaka,gray
darumaka-galar,green
decidueye,gray
decidueye-hisui,green
dedenne,green
deerling,gray
deino,yellow
delcatty,red
delibird,blue
delphox,gray
deoxys-attack,gray
deoxys-defense,white
deoxys-normal,brown
deoxys-speed,gray
dewgong,red
dewott,white
dewpider,gray
dhelmise,purple
dialga,gray
dialga-origin,gray
diancie,brown
diancie-mega,purple
diggersby,gray
diglett,brown
diglett-alola,gray
ditto,brown
dodrio,gray
doduo,yellow
dolliv,purple
dondozo,purple
donphan,purple
dottler,red
doublade,white
dracovish,gray
dracozolt,red
dragalge,brown
dragapult,brown
dragonair,white
dragonite,brown
drakloak,purple
drampa,gray
drapion,gray
dratini,gray
drednaw,yellow
drednaw-gmax,gray
dreepy,green
drifblim,red
drifloon,gray
drilbur,gray
drizzile,white
drowzee,gray
druddigon,green
dubwool,gray
ducklett,gray
dudunsparce,gray
dudunsparce-three-segment,brown
dugtrio,gray
dugtrio-alola,blue
dunsparce,purple
duosion,gray
duraludon,gray
duraludon-gmax,gray
durant,yellow
dusclops,green
dusknoir,gray
duskull,gray
dustox,gray
dwebble,brown
eelektrik,gray
eelektross,gray
eevee,blue
eevee-gmax,brown
eevee-starter,gray
eiscue-ice,gray
eiscue-noice,gray
ekans,blue
eldegoss,gray
electabuzz,gray
electivire,gray
electrike,blue
electrode,gray
electrode-hisui,white
elekid,gray
elgyem,brown
emboar,red
emolga,yellow
empoleon,gray
enamorus-incarnate,gray
enamorus-therian,gray
entei,pink
escavalier,gray
espathra,red
espeon,gray
espurr,gray
eternatus,brown
eternatus-eternamax,brown
excadrill,gray
exeggcute,brown
exeggutor,blue
exeggutor-alola,green
exploud,red
falinks,white
farfetchd,red
farfetchd-galar,purple
farigiraf,brown
fearow,gray
feebas,white
fennekin,white
feraligatr,brown
ferroseed,gray
ferrothorn,gray
fidough,gray
finizen,yellow
finneon,gray
flaaffy,gray
flabebe,gray
flamigo,brown
flapple,brown
flapple-gmax,gray
flareon,brown
fletchinder,gray
fletchling,gray
flittle,green
floatzel,gray
floette,brown
floette-eternal,brown
floragato,pink
florges,blue
flutter-mane,gray
flygon,brown
fomantis,gray
foongus,purple
forretress,brown
fraxure,purple
frigibax,white
frillish,gray
froakie,gray
frogadier,green
froslass,brown
frosmoth,blue
fuecoco,gray
furfrou,gray
furret,blue
gabite,gray
gallade,yellow
gallade-mega,gray
galvantula,blue
garbodor,brown
garbodor-gmax,green
garchomp,purple
garchomp-mega,red
gardevoir,gray
gardevoir-mega,purple
garganacl,white
gastly,gray
gastrodon,gray
genesect,brown
